Index,Start Time,End Time,Start Time (sec),Text,Movie,Analysis,Language,Sadness,Joy,Fear,Disgust,Anger
13,0:3:16,0:3:17,196,And 5?,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 6,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.217258,
        ""joy"": 0.209566,
        ""fear"": 0.240224,
        ""disgust"": 0.03854,
        ""anger"": 0.084637
      }
    }
  }
}",en,0.217258,0.209566,0.240224,0.03854,0.084637
14,0:3:19,0:3:21,199,Watch it. Watch it.,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 19,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.223169,
        ""joy"": 0.348373,
        ""fear"": 0.090808,
        ""disgust"": 0.046018,
        ""anger"": 0.076782
      }
    }
  }
}",en,0.223169,0.348373,0.090808,0.046018,0.076782
15,0:3:21,0:3:23,201,"God, this place is huge.",Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 24,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.104688,
        ""joy"": 0.62277,
        ""fear"": 0.082893,
        ""disgust"": 0.026748,
        ""anger"": 0.083378
      }
    }
  }
}",en,0.104688,0.62277,0.082893,0.026748,0.083378
16,0:3:26,0:3:27,206,It's beautiful.,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 15,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.046246,
        ""joy"": 0.992981,
        ""fear"": 0.006664,
        ""disgust"": 0.002275,
        ""anger"": 0.003223
      }
    }
  }
}",en,0.046246,0.992981,0.006664,0.002275,0.003223
17,0:3:28,0:3:29,208,God!,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 4,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.087368,
        ""joy"": 0.685939,
        ""fear"": 0.08444,
        ""disgust"": 0.026021,
        ""anger"": 0.105847
      }
    }
  }
}",en,0.087368,0.685939,0.08444,0.026021,0.105847
18,0:3:29,0:3:32,209,"You guys, it's absolutely incredible.",Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 37,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.010742,
        ""joy"": 0.971298,
        ""fear"": 0.009424,
        ""disgust"": 0.023713,
        ""anger"": 0.020003
      }
    }
  }
}",en,0.010742,0.971298,0.009424,0.023713,0.020003
19,0:3:32,0:3:33,212,Incredible.,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 11,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.012088,
        ""joy"": 0.985419,
        ""fear"": 0.010324,
        ""disgust"": 0.005375,
        ""anger"": 0.011634
      }
    }
  }
}",en,0.012088,0.985419,0.010324,0.005375,0.011634
20,0:3:33,0:3:36,213,"A little paint, you could sell this tomorrow",Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 44,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.162258,
        ""joy"": 0.321189,
        ""fear"": 0.227017,
        ""disgust"": 0.020729,
        ""anger"": 0.054103
      }
    }
  }
}",en,0.162258,0.321189,0.227017,0.020729,0.054103
21,0:3:36,0:3:38,216,and double your money.,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 22,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.125802,
        ""joy"": 0.174016,
        ""fear"": 0.205853,
        ""disgust"": 0.023201,
        ""anger"": 0.185484
      }
    }
  }
}",en,0.125802,0.174016,0.205853,0.023201,0.185484
22,0:3:38,0:3:40,218,"Carl, you're obsessed.",Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 22,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.139657,
        ""joy"": 0.130803,
        ""fear"": 0.537426,
        ""disgust"": 0.014176,
        ""anger"": 0.032098
      }
    }
  }
}",en,0.139657,0.130803,0.537426,0.014176,0.032098
23,0:3:40,0:3:42,220,A little bit.,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 13,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.197252,
        ""joy"": 0.420439,
        ""fear"": 0.164294,
        ""disgust"": 0.018948,
        ""anger"": 0.0605
      }
    }
  }
}",en,0.197252,0.420439,0.164294,0.018948,0.0605
24,0:3:42,0:3:43,222,"Whoa, look!",Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 11,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.117399,
        ""joy"": 0.892839,
        ""fear"": 0.071876,
        ""disgust"": 0.0097,
        ""anger"": 0.017221
      }
    }
  }
}",en,0.117399,0.892839,0.071876,0.0097,0.017221
25,0:3:46,0:3:48,226,"Hey, it's an Indian head penny.",Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 31,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.360564,
        ""joy"": 0.468156,
        ""fear"": 0.010321,
        ""disgust"": 0.013913,
        ""anger"": 0.082946
      }
    }
  }
}",en,0.360564,0.468156,0.010321,0.013913,0.082946
26,0:3:48,0:3:50,228,1898.,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 5,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.270645,
        ""joy"": 0.464973,
        ""fear"": 0.06456,
        ""disgust"": 0.024561,
        ""anger"": 0.05169
      }
    }
  }
}",en,0.270645,0.464973,0.06456,0.024561,0.05169
27,0:3:52,0:3:54,232,It's a good omen.,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 17,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.034918,
        ""joy"": 0.749782,
        ""fear"": 0.620997,
        ""disgust"": 0.004915,
        ""anger"": 0.009472
      }
    }
  }
}",en,0.034918,0.749782,0.620997,0.004915,0.009472
28,0:3:55,0:3:57,235,You're the good omen.,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 21,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.040544,
        ""joy"": 0.684373,
        ""fear"": 0.664683,
        ""disgust"": 0.005286,
        ""anger"": 0.010343
      }
    }
  }
}",en,0.040544,0.684373,0.664683,0.005286,0.010343
