Index,Start Time,End Time,Start Time (sec),Text,Movie,Analysis,Language,Sadness,Joy,Fear,Disgust,Anger
592,1:16:11,1:16:15,4571,Truman... Surprise party!,The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 25,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.135804,
        ""joy"": 0.593664,
        ""fear"": 0.089534,
        ""disgust"": 0.037743,
        ""anger"": 0.029146
      }
    }
  }
}",en,0.135804,0.593664,0.089534,0.037743,0.029146
593,1:16:16,1:16:21,4576,I got a sixpack of cold brew skies with our name on them.,The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 57,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.478961,
        ""joy"": 0.374009,
        ""fear"": 0.035658,
        ""disgust"": 0.01198,
        ""anger"": 0.044047
      }
    }
  }
}",en,0.478961,0.374009,0.035658,0.01198,0.044047
594,1:16:21,1:16:25,4581,"Come on, pal. Come on, buddy.",The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 29,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.150457,
        ""joy"": 0.637158,
        ""fear"": 0.185051,
        ""disgust"": 0.054643,
        ""anger"": 0.216942
      }
    }
  }
}",en,0.150457,0.637158,0.185051,0.054643,0.216942
595,1:16:27,1:16:28,4587,Shit!,The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 5,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.119832,
        ""joy"": 0.024959,
        ""fear"": 0.065505,
        ""disgust"": 0.067216,
        ""anger"": 0.750285
      }
    }
  }
}",en,0.119832,0.024959,0.065505,0.067216,0.750285
596,1:16:31,1:16:35,4591,"Marlon, find him. He's still in the room.",The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 41,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.13995,
        ""joy"": 0.215029,
        ""fear"": 0.130066,
        ""disgust"": 0.047667,
        ""anger"": 0.061968
      }
    }
  }
}",en,0.13995,0.215029,0.130066,0.047667,0.061968
597,1:16:38,1:16:42,4598," Come out, wherever you are.  Good. Keep it light.",The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 50,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.154727,
        ""joy"": 0.627435,
        ""fear"": 0.072066,
        ""disgust"": 0.016534,
        ""anger"": 0.043371
      }
    }
  }
}",en,0.154727,0.627435,0.072066,0.016534,0.043371
598,1:16:42,1:16:45,4602,I know you're in here.,The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 22,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.10472,
        ""joy"": 0.316646,
        ""fear"": 0.144529,
        ""disgust"": 0.017347,
        ""anger"": 0.212645
      }
    }
  }
}",en,0.10472,0.316646,0.144529,0.017347,0.212645
599,1:16:49,1:16:55,4609,"Check under the table. The closet, behind you.",The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 46,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.14562,
        ""joy"": 0.33459,
        ""fear"": 0.271317,
        ""disgust"": 0.054694,
        ""anger"": 0.041282
      }
    }
  }
}",en,0.14562,0.33459,0.271317,0.054694,0.041282
600,1:17:0,1:17:5,4620,"Gee, I wonder where he could possibly be.",The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 41,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.149389,
        ""joy"": 0.490947,
        ""fear"": 0.145386,
        ""disgust"": 0.018108,
        ""anger"": 0.483537
      }
    }
  }
}",en,0.149389,0.490947,0.145386,0.018108,0.483537
601,1:17:13,1:17:14,4633,Lawncam!,The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 8,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.073663,
        ""joy"": 0.593904,
        ""fear"": 0.103845,
        ""disgust"": 0.037883,
        ""anger"": 0.088487
      }
    }
  }
}",en,0.073663,0.593904,0.103845,0.037883,0.088487
602,1:17:22,1:17:26,4642, Say something. Keep it going.  He's gone.,The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 42,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.194547,
        ""joy"": 0.349367,
        ""fear"": 0.096985,
        ""disgust"": 0.02887,
        ""anger"": 0.072871
      }
    }
  }
}",en,0.194547,0.349367,0.096985,0.02887,0.072871
