Index,Start Time,End Time,Start Time (sec),Text,Movie
524,0:42:39,0:42:43,2559,"Well, I don't think that the man is competent to conduct...",Ghostbusters
525,0:42:43,0:42:44,2563,...a major symphony orchestra.,Ghostbusters
526,0:42:45,0:42:51,2565, Could you wait here a minute?  Sure.,Ghostbusters
527,0:42:56,0:42:58,2576,Dr. Venkman. This is a surprise.,Ghostbusters
528,0:42:58,0:43:1,2578, That was a wonderful rehearsal.  You heard that?,Ghostbusters
529,0:43:1,0:43:3,2581,Yes. You're the best one in your row.,Ghostbusters
530,0:43:3,0:43:4,2583,"Oh, thank you.",Ghostbusters
531,0:43:4,0:43:8,2584,You're good. Most people can't hear me with the whole orchestra playing.,Ghostbusters
532,0:43:8,0:43:10,2588,I don't have to take this abuse.,Ghostbusters
533,0:43:10,0:43:12,2590,I got hundreds of people dying to abuse me.,Ghostbusters
534,0:43:12,0:43:14,2592,I know. You're a big celebrity now.,Ghostbusters
535,0:43:15,0:43:18,2595,Do you have some information for me on my case?,Ghostbusters
536,0:43:22,0:43:24,2602,Who's the stiff?,Ghostbusters
537,0:43:24,0:43:28,2604,The stiff happens to be one of the finest musicians in the world.,Ghostbusters
538,0:43:28,0:43:30,2608,"Do you have information for me, please?",Ghostbusters
539,0:43:30,0:43:32,2610,"Well, sure, but I prefer to give it to you in private.",Ghostbusters
540,0:43:32,0:43:36,2612, Why don't you tell me now?  Okay. I found the name Zuul for you.,Ghostbusters
541,0:43:36,0:43:41,2616,The name Zuul refers to a demigod worshipped around 6000 B.C. By the...,Ghostbusters
542,0:43:42,0:43:44,2622,What's that word?,Ghostbusters
543,0:43:44,0:43:46,2624," ""Hittites.""  Hittites...",Ghostbusters
544,0:43:46,0:43:49,2626,...the Mesopotamians and the Sumerians.,Ghostbusters
545,0:43:50,0:43:52,2630,"""Zuul was the minion of Gozer.""",Ghostbusters
546,0:43:52,0:43:55,2632,What's Gozer?,Ghostbusters
547,0:43:55,0:43:59,2635," Gozer was very big in Sumeria.  Well, what's he doing in my icebox?",Ghostbusters
548,0:43:59,0:44:2,2639,I'm working on that. If we could get together Thursday night...,Ghostbusters
549,0:44:2,0:44:6,2642,"...l'm thinking 9ish, you know, we could exchange information.",Ghostbusters
550,0:44:6,0:44:9,2646,I can't see you Thursday. I'm busy.,Ghostbusters
551,0:44:9,0:44:13,2649,"Miss Barrett, you think there is something wrong up here that says:",Ghostbusters
552,0:44:13,0:44:17,2653,"""He enjoys taking his evenings off and spending it with his clients.""",Ghostbusters
553,0:44:17,0:44:20,2657,No. I'm making a special exception in your case...,Ghostbusters
554,0:44:20,0:44:22,2660,...because...,Ghostbusters
555,0:44:22,0:44:24,2662,...I respect you.,Ghostbusters
556,0:44:24,0:44:26,2664,"It's corny, but I respect you as an artist.",Ghostbusters
557,0:44:26,0:44:30,2666,As a dresser too. This is a magnificent coordination you have going today.,Ghostbusters
558,0:44:30,0:44:33,2670, See you Thursday.  I'll bring the Roylance Guide...,Ghostbusters
559,0:44:33,0:44:35,2673,...and we'll eat and read.,Ghostbusters
560,0:44:42,0:44:44,2682, So who the hell is that?  He's just a friend.,Ghostbusters
561,0:44:44,0:44:45,2684, A friend?  An old friend.,Ghostbusters
562,0:44:46,0:44:47,2686,"Bye! Well, I'll see you Thursday!",Ghostbusters
563,0:44:47,0:44:51,2687,"I'm sorry I didn't get to meet you, sir. I'm glad you're feeling much better.",Ghostbusters
564,0:44:51,0:44:54,2691,"You're still very pale, though. A little sun.",Ghostbusters
565,0:44:54,0:44:57,2694," Well, what does he do?  He's a scientist.",Ghostbusters
566,0:45:8,0:45:13,2708,This is where we store all the vapours and entities and slimers that we trap.,Ghostbusters
567,0:45:13,0:45:18,2713,"Very simple, really. A loaded trap here. Open, unlock the system.",Ghostbusters
568,0:45:18,0:45:20,2718,Insert the trap.,Ghostbusters
569,0:45:21,0:45:23,2721,Release.,Ghostbusters
570,0:45:24,0:45:28,2724,"Close, lock the system. Set your entry grid.",Ghostbusters
571,0:45:28,0:45:30,2728,Neutronise your field.,Ghostbusters
572,0:45:30,0:45:32,2730,And...,Ghostbusters
573,0:45:32,0:45:34,2732,"...when the light is green, the trap is clean.",Ghostbusters
574,0:45:35,0:45:38,2735,The ghost is incarcerated here in our custom storage facility.,Ghostbusters
575,0:45:38,0:45:41,2738,There's a man from the EPA here to see you. He's waiting in your office.,Ghostbusters
576,0:45:42,0:45:44,2742, EPA? What's he want?  I don't know.,Ghostbusters
577,0:45:44,0:45:47,2744,All I do know is I've been working two weeks without a break...,Ghostbusters
578,0:45:47,0:45:50,2747,...and you promised me you'd hire more help.,Ghostbusters
579,0:45:50,0:45:53,2750,"Janine, someone with your qualifications...",Ghostbusters
580,0:45:53,0:45:57,2753,...would have no trouble finding a topflight job in either...,Ghostbusters
