Index,Start Time,End Time,Start Time (sec),Text,Movie
375,1:3:2,1:3:6,3782,I was awaited in Valhalla. They were calling my name.,Mad Max Fury Road
376,1:3:6,1:3:10,3786,"I should be walking with the immorta, mcfeasting with the heroes of all time.",Mad Max Fury Road
377,1:3:13,1:3:17,3793,I'd say it was your manifest destiny not to.,Mad Max Fury Road
378,1:3:18,1:3:21,3798,I thought I was being spared for something great.,Mad Max Fury Road
379,1:3:21,1:3:26,3801,I got to drive a pursuit vehicle.,Mad Max Fury Road
380,1:3:26,1:3:29,3806,For a while even Larry and Barry stopped chewing on my windpipe.,Mad Max Fury Road
381,1:3:29,1:3:31,3809,Who are Larry and Barry?,Mad Max Fury Road
382,1:3:32,1:3:35,3812,My mates. Larry and Barry.,Mad Max Fury Road
383,1:3:37,1:3:40,3817,"If they don't get me, then the night fevers will.",Mad Max Fury Road
384,1:4:4,1:4:9,3844,"Well, we've only got four for big boy here, so he's all but useless.",Mad Max Fury Road
385,1:4:9,1:4:16,3849,But we can squirt off this little pinky a raunchy 29 times.,Mad Max Fury Road
386,1:4:17,1:4:19,3857,Angharad used to call them antiseed.,Mad Max Fury Road
387,1:4:20,1:4:23,3860,Plant one and watch something die.,Mad Max Fury Road
388,1:5:57,1:6:1,3957,"We are down 30,000 units of guzzoline,",Mad Max Fury Road
389,1:6:1,1:6:4,3961,"19 canisters of nitro, 12 assault bikes,",Mad Max Fury Road
390,1:6:5,1:6:8,3965,7 pursuit vehicles. The deficit mounts.,Mad Max Fury Road
391,1:6:8,1:6:12,3968,"And now, sir, you have us stuck in a quagmire.",Mad Max Fury Road
392,1:6:13,1:6:14,3973,"Hey, Joe!",Mad Max Fury Road
393,1:6:15,1:6:16,3975,Boss!,Mad Max Fury Road
394,1:6:18,1:6:21,3978,Your girly's breathing her last!,Mad Max Fury Road
395,1:6:21,1:6:23,3981,What about the child?,Mad Max Fury Road
396,1:6:32,1:6:35,3992," Are ya comin', brother?  Wait!",Mad Max Fury Road
397,1:6:36,1:6:41,3996, It's gone awful quiet in there.  Get it out. Get it out!,Mad Max Fury Road
398,1:6:43,1:6:45,4003,Come on! I've been called to the torture!,Mad Max Fury Road
399,1:6:46,1:6:49,4006,Patience!,Mad Max Fury Road
400,1:6:49,1:6:51,4009,"Oh, you stay here with your grief, Daddy.",Mad Max Fury Road
401,1:6:52,1:6:56,4012, I'll fetch 'em for ya.  Be careful! Protect the assets!,Mad Max Fury Road
402,1:6:58,1:7:0,4018,Just one angry shot...,Mad Max Fury Road
403,1:7:0,1:7:2,4020,for Furiosa.,Mad Max Fury Road
404,1:7:2,1:7:4,4022,Hut!,Mad Max Fury Road
405,1:7:11,1:7:13,4031,Cryin' shame.,Mad Max Fury Road
406,1:7:14,1:7:15,4034,Come.,Mad Max Fury Road
407,1:7:16,1:7:17,4036,Nother month...,Mad Max Fury Road
408,1:7:18,1:7:20,4038,Could've been your viable human.,Mad Max Fury Road
409,1:7:20,1:7:23,4040, Was it a male?  Your aone Alpha prime.,Mad Max Fury Road
410,1:7:26,1:7:28,4046,"Hey, Rictus!",Mad Max Fury Road
411,1:7:29,1:7:31,4049,You lost a baby brother.,Mad Max Fury Road
412,1:7:33,1:7:36,4053,Perfect in every way.,Mad Max Fury Road
413,1:7:37,1:7:41,4057,I had a baby brother! I had a little baby brother!,Mad Max Fury Road
414,1:7:42,1:7:46,4062,And he was perfect! Perfect in every way!,Mad Max Fury Road
415,1:8:16,1:8:17,4096,Come on.,Mad Max Fury Road
416,1:8:27,1:8:30,4107," Wouldn't wanna shoot the wives, sir.  Just probing.",Mad Max Fury Road
417,1:8:41,1:8:44,4121, He wants to help!  Who?!,Mad Max Fury Road
418,1:8:44,1:8:47,4124, The War Boy!  Where did he come from?!,Mad Max Fury Road
419,1:8:47,1:8:50,4127,I thought we threw him off the rig!,Mad Max Fury Road
420,1:8:53,1:8:55,4133,There's high ground just beyond that thing.,Mad Max Fury Road
421,1:8:55,1:8:59,4135, He means the tree.  Yeah. Tree!,Mad Max Fury Road
422,1:9:0,1:9:2,4140," Leave him to me.  Say, anyone notice that bright light?",Mad Max Fury Road
423,1:9:2,1:9:5,4142,Encroaching gunfire?,Mad Max Fury Road
424,1:9:5,1:9:7,4145, Get out.  I can do this. I know this machine.,Mad Max Fury Road
425,1:9:7,1:9:9,4147,He does. He's a revhead.,Mad Max Fury Road
426,1:9:14,1:9:17,4154,You've got two left.,Mad Max Fury Road
427,1:9:22,1:9:24,4162,On him.,Mad Max Fury Road
428,1:9:41,1:9:43,4181,Don't breathe.,Mad Max Fury Road
429,1:9:46,1:9:49,4186,Hey! Hey! Hey! War Boy!,Mad Max Fury Road
430,1:9:50,1:9:52,4190,I'm gonna use the winch 'round the tree thing!,Mad Max Fury Road
431,1:9:53,1:9:56,4193,Take this. Let's get the engine plates.,Mad Max Fury Road
432,1:9:58,1:9:59,4198,You drive the rig!,Mad Max Fury Road
433,1:9:59,1:10:1,4199, Hold up a flare.  I am holding a flare!,Mad Max Fury Road
434,1:10:1,1:10:5,4201, Closer.  It's right in front of your eyes!,Mad Max Fury Road
435,1:10:16,1:10:19,4216,Hut! Hut!,Mad Max Fury Road
436,1:10:24,1:10:26,4224,Blood bag!,Mad Max Fury Road
437,1:10:32,1:10:34,4232,I am the scales of justice!,Mad Max Fury Road
438,1:10:35,1:10:39,4235,Conductor of the choir of death!,Mad Max Fury Road
439,1:10:42,1:10:44,4242,"Sing, brother koch!",Mad Max Fury Road
440,1:10:46,1:10:50,4246,"Sing, brothers, sing! Sing!",Mad Max Fury Road
441,1:10:51,1:10:53,4251,Don't they know they're shooting at us?,Mad Max Fury Road
442,1:11:7,1:11:9,4267,Gun fever!,Mad Max Fury Road
