Index,Start Time,End Time,Start Time (sec),Text,Movie
956,1:39:28,1:39:30,5968,"""I finally found her.""",The Theory Of Everything
957,1:39:32,1:39:34,5972,I bet you did.,The Theory Of Everything
958,1:39:41,1:39:44,5981,"Stephen, I need to steal you. The contract's arrived.",The Theory Of Everything
959,1:39:45,1:39:47,5985,"Could you just give us a minute, please, Jane?",The Theory Of Everything
960,1:39:59,1:40:1,5999,There we go.,The Theory Of Everything
961,1:40:9,1:40:10,6009,Like new.,The Theory Of Everything
962,1:40:39,1:40:41,6039,"""Who are we?",The Theory Of Everything
963,1:40:42,1:40:44,6042,"""Why are we here?",The Theory Of Everything
964,1:40:44,1:40:48,6044,"""If we ever learn this, it will be the ultimate triumph of human reason,",The Theory Of Everything
965,1:40:48,1:40:51,6048,"""for then we would know the mind of God.""",The Theory Of Everything
966,1:40:52,1:40:54,6052,Do you mean this?,The Theory Of Everything
967,1:40:55,1:40:56,6055,Yes.,The Theory Of Everything
968,1:40:58,1:41:2,6058," Of course.  So, you're acknowledging him?",The Theory Of Everything
969,1:41:7,1:41:8,6067,However...,The Theory Of Everything
970,1:41:11,1:41:13,6071,"""However"" what?",The Theory Of Everything
971,1:41:20,1:41:23,6080,Are you actually going to let me have this moment?,The Theory Of Everything
972,1:41:28,1:41:31,6088,You are welcome.,The Theory Of Everything
973,1:42:9,1:42:14,6129,I have asked Elaine to travel with me to America.,The Theory Of Everything
974,1:42:16,1:42:19,6136,She will look after me.,The Theory Of Everything
975,1:42:33,1:42:34,6153,Will she?,The Theory Of Everything
976,1:42:38,1:42:39,6158,Yes.,The Theory Of Everything
977,1:42:46,1:42:49,6166,You always used to tell me when an invitation came in.,The Theory Of Everything
978,1:42:51,1:42:55,6171,Another award. What can you do?,The Theory Of Everything
979,1:43:6,1:43:8,6186,I am sorry.,The Theory Of Everything
980,1:43:17,1:43:19,6197,How many years?,The Theory Of Everything
981,1:43:25,1:43:27,6205,They said two.,The Theory Of Everything
982,1:43:30,1:43:32,6210,You've had so many.,The Theory Of Everything
983,1:44:0,1:44:2,6240,Everything will be okay.,The Theory Of Everything
984,1:44:20,1:44:23,6260,I have loved you.,The Theory Of Everything
985,1:44:32,1:44:35,6272,I did my best.,The Theory Of Everything
986,1:45:13,1:45:14,6313,Careful.,The Theory Of Everything
987,1:45:15,1:45:18,6315, That... That's staying.  All right.,The Theory Of Everything
988,1:46:4,1:46:6,6364,"Bye, Jonathan.",The Theory Of Everything
989,1:47:34,1:47:36,6454,"Professor, I love your book!",The Theory Of Everything
990,1:47:43,1:47:45,6463,Thank you.,The Theory Of Everything
991,1:47:47,1:47:50,6467,I first met the Professor,The Theory Of Everything
992,1:47:51,1:47:53,6471,in 1963.,The Theory Of Everything
993,1:47:53,1:47:57,6473,Now there you are. Time! Where does it go?,The Theory Of Everything
994,1:47:58,1:48:2,6478,It has been one of the great joys of my life to watch this man,The Theory Of Everything
995,1:48:2,1:48:8,6482,"defy every expectation, both scientific and personal.",The Theory Of Everything
996,1:48:9,1:48:13,6489,"Please welcome onto the stage my esteemed colleague,",The Theory Of Everything
997,1:48:14,1:48:17,6494,"my dear friend, Professor Hawking.",The Theory Of Everything
998,1:48:34,1:48:39,6514,Thank you. Could we please have the first preselected question? Thank you.,The Theory Of Everything
999,1:48:45,1:48:47,6525,Can you hear me?,The Theory Of Everything
