Index,Start Time,End Time,Start Time (sec),Text,Movie
921,1:48:45,1:48:47,6525,Why not?,The Hunger Games
922,1:49:7,1:49:9,6547,Nobody's gonna find you in here.,The Hunger Games
923,1:49:10,1:49:11,6550,They already found me.,The Hunger Games
924,1:49:16,1:49:17,6556,We'll just get you some medicine.,The Hunger Games
925,1:49:18,1:49:19,6558,"Katniss, I don't get many parachutes.",The Hunger Games
926,1:49:20,1:49:22,6560,We'll figure something out.,The Hunger Games
927,1:49:23,1:49:24,6563,Like what?,The Hunger Games
928,1:49:25,1:49:26,6565,Something.,The Hunger Games
929,1:50:28,1:50:30,6628, Medicine?  No. Soup.,The Hunger Games
930,1:50:31,1:50:32,6631,I'll do it.,The Hunger Games
931,1:50:43,1:50:44,6643,That's nice.,The Hunger Games
932,1:50:46,1:50:48,6646,You fed me once.,The Hunger Games
933,1:50:51,1:50:53,6651,I think about that all the time.,The Hunger Games
934,1:50:55,1:50:57,6655,How I tossed you that bread.,The Hunger Games
935,1:50:57,1:50:59,6657, Peeta...  I should have gone to you.,The Hunger Games
936,1:50:59,1:51:1,6659,I should have just gone out in the rain and...,The Hunger Games
937,1:51:4,1:51:6,6664,You feel hot.,The Hunger Games
938,1:51:8,1:51:10,6668,I remember the first time I saw you.,The Hunger Games
939,1:51:11,1:51:13,6671,Your hair was in two braids instead of one.,The Hunger Games
940,1:51:15,1:51:18,6675,And I remember when you sang in the music assembly.,The Hunger Games
941,1:51:18,1:51:20,6678,"The teacher said, ""Who knows The Valley Song?â.""",The Hunger Games
942,1:51:21,1:51:23,6681,And your hand shot straight up.,The Hunger Games
943,1:51:23,1:51:24,6683,Stop.,The Hunger Games
944,1:51:24,1:51:28,6684,"After that, I watched you going home every day.",The Hunger Games
945,1:51:31,1:51:32,6691,Every day,The Hunger Games
946,1:51:40,1:51:42,6700,"Well, say something.",The Hunger Games
947,1:51:45,1:51:47,6705,I'm not good at saying something.,The Hunger Games
948,1:51:49,1:51:51,6709,Then come here.,The Hunger Games
