Index,Start Time,End Time,Start Time (sec),Text,Movie
309,0:23:39,0:23:40,1419,"I wanna come back, Bernie.",The Shape Of Water
310,0:23:42,0:23:45,1422,"We'll see. Now, do this.",The Shape Of Water
311,0:23:47,0:23:49,1427,I think we're making great progress.,The Shape Of Water
312,0:23:49,0:23:50,1429,Good work.,The Shape Of Water
313,0:26:10,0:26:11,1570,Elisa.,The Shape Of Water
314,0:26:13,0:26:14,1573,What are you doing in there?,The Shape Of Water
315,0:26:16,0:26:18,1576,"Cleaning, huh?",The Shape Of Water
316,0:26:19,0:26:20,1579,"Listen, honey.",The Shape Of Water
317,0:26:20,0:26:23,1580,"Mr. ""I pee with my hands on my hips""",The Shape Of Water
318,0:26:23,0:26:25,1583,wants to see us both.,The Shape Of Water
319,0:26:25,0:26:26,1585,"""Zelda D. Fuller.""",The Shape Of Water
320,0:26:26,0:26:29,1586,"How long have you two known each other, Zelda?",The Shape Of Water
321,0:26:29,0:26:31,1589,"About 10 years, sir.",The Shape Of Water
322,0:26:33,0:26:35,1593,"No siblings, Zelda?",The Shape Of Water
323,0:26:35,0:26:36,1595,"No, sir.",The Shape Of Water
324,0:26:36,0:26:38,1596,"That's not common, is it? For your people?",The Shape Of Water
325,0:26:39,0:26:42,1599,My mama died after me.,The Shape Of Water
326,0:26:42,0:26:44,1602,After I was born.,The Shape Of Water
327,0:26:47,0:26:48,1607,"What does that ""D"" stand for?",The Shape Of Water
328,0:26:49,0:26:52,1609,"Delilah, sir.",The Shape Of Water
329,0:26:52,0:26:53,1612,On account of the Bible.,The Shape Of Water
330,0:26:53,0:26:56,1613,"Delilah, she betrayed Samson.",The Shape Of Water
331,0:26:56,0:27:0,1616,"Lulled him to sleep, cut his hair.",The Shape Of Water
332,0:27:0,0:27:3,1620,"Philistines tortured him, humiliated him...",The Shape Of Water
333,0:27:3,0:27:4,1623,burned his eyes out.,The Shape Of Water
334,0:27:6,0:27:9,1626,Guess my mama didn't read the good book close enough.,The Shape Of Water
335,0:27:9,0:27:10,1629,And you...,The Shape Of Water
336,0:27:11,0:27:14,1631,"""Elisa Esposito.""",The Shape Of Water
337,0:27:14,0:27:16,1634,"Doesn't ""Esposito"" mean orphan?",The Shape Of Water
338,0:27:16,0:27:19,1636,"""Our Lady of Sorrows Orphanage in Putnam.""",The Shape Of Water
339,0:27:19,0:27:21,1639,They found her by the river,The Shape Of Water
340,0:27:21,0:27:22,1641,in the water.,The Shape Of Water
341,0:27:24,0:27:26,1644,It was you that found my fingers.,The Shape Of Water
342,0:27:28,0:27:30,1648,Oh!,The Shape Of Water
343,0:27:30,0:27:31,1650,Thanks.,The Shape Of Water
344,0:27:31,0:27:33,1651,Three hours in surgery.,The Shape Of Water
345,0:27:33,0:27:36,1653,They rebuilt the first phalanx here...,The Shape Of Water
346,0:27:36,0:27:37,1656,sutured the tendons.,The Shape Of Water
347,0:27:37,0:27:39,1657,Don't know if it's gonna take or not.,The Shape Of Water
348,0:27:40,0:27:43,1660,There was mustard on them. A paper bag?,The Shape Of Water
349,0:27:43,0:27:45,1663,"It was all we had, sir.",The Shape Of Water
350,0:27:45,0:27:48,1665,I answer mostly on account that she can't talk.,The Shape Of Water
351,0:27:48,0:27:50,1668,She can't? She deaf?,The Shape Of Water
352,0:27:51,0:27:53,1671,"Mute, sir.",The Shape Of Water
353,0:27:53,0:27:55,1673,She said she can hear you.,The Shape Of Water
354,0:28:0,0:28:3,1680,All those scars on your neck.,The Shape Of Water
355,0:28:3,0:28:5,1683,"That's what did it. Cut your voice box, right?",The Shape Of Water
356,0:28:6,0:28:8,1686,She said since she was a baby.,The Shape Of Water
357,0:28:8,0:28:11,1688,Who would do that to a baby?,The Shape Of Water
358,0:28:11,0:28:13,1691,The world is sinful.,The Shape Of Water
359,0:28:13,0:28:15,1693,"Wouldn't you say so, Delilah?",The Shape Of Water
360,0:28:15,0:28:17,1695,"Well, let me say this upfront.",The Shape Of Water
361,0:28:18,0:28:21,1698,"You clean that lab, you get out.",The Shape Of Water
362,0:28:21,0:28:24,1701,The thing we keep in there is an affront.,The Shape Of Water
363,0:28:24,0:28:26,1704,"Do you know what an affront is, Zelda?",The Shape Of Water
364,0:28:26,0:28:28,1706,Something offensive.,The Shape Of Water
365,0:28:28,0:28:30,1708,"That's right, and I should know.",The Shape Of Water
366,0:28:30,0:28:34,1710,I dragged that filthy thing...,The Shape Of Water
367,0:28:34,0:28:36,1714,out of the river muck in South America,The Shape Of Water
368,0:28:36,0:28:38,1716,all the way here.,The Shape Of Water
369,0:28:39,0:28:40,1719,"And along the way,",The Shape Of Water
370,0:28:40,0:28:42,1720,we didn't get to like each other much.,The Shape Of Water
371,0:28:44,0:28:45,1724,Now...,The Shape Of Water
372,0:28:46,0:28:50,1726,you may think that thing looks human.,The Shape Of Water
373,0:28:50,0:28:53,1730,"Stands on two legs, right?",The Shape Of Water
374,0:28:53,0:28:56,1733,But we're created in the Lord's image.,The Shape Of Water
375,0:28:57,0:28:59,1737,"You don't think that's what the Lord looks like, do you?",The Shape Of Water
376,0:28:59,0:29:3,1739,"I wouldn't know, sir, what the Lord looks like.",The Shape Of Water
377,0:29:3,0:29:6,1743,"Well, it's human, Zelda. He looks like a human, like me.",The Shape Of Water
378,0:29:7,0:29:9,1747,Or even you.,The Shape Of Water
379,0:29:9,0:29:11,1749,"Maybe a little more like me, I guess.",The Shape Of Water
380,0:29:14,0:29:16,1754,That's all.,The Shape Of Water
381,0:29:19,0:29:21,1759,"General Hoyt, thank you for calling me back, sir.",The Shape Of Water
382,0:29:21,0:29:23,1761," Feeling better?  Oh, yes, sir, much better.",The Shape Of Water
383,0:29:23,0:29:24,1763,Pain pills is all.,The Shape Of Water
384,0:29:24,0:29:26,1764," Close the door.  You lost two fingers, was it?",The Shape Of Water
385,0:29:26,0:29:28,1766,"Two fingers, yeah. He got two fingers.",The Shape Of Water
386,0:29:28,0:29:29,1768,"But I still got my thumb,",The Shape Of Water
387,0:29:29,0:29:31,1769,"my trigger, and my pussy finger.",The Shape Of Water
388,0:29:31,0:29:32,1771,Sounds to me like you'll do all right then.,The Shape Of Water
389,0:29:32,0:29:35,1772,"Yes, sir, that's right.",The Shape Of Water
390,0:29:35,0:29:37,1775,"Looking forward to your visit, sir.",The Shape Of Water
391,0:29:37,0:29:39,1777,Decisions need to be made about the asset.,The Shape Of Water
392,0:30:16,0:30:18,1816,Flavors of fruity pies await you.,The Shape Of Water
393,0:30:18,0:30:20,1818,Three new locations in downtown Baltimore.,The Shape Of Water
394,0:30:20,0:30:22,1820,The future is here.,The Shape Of Water
395,0:30:22,0:30:23,1822,Get some rest.,The Shape Of Water
396,0:30:23,0:30:24,1823,"Pumpkin, banana...",The Shape Of Water
397,0:30:24,0:30:26,1824,Pick me up at 9:30.,The Shape Of Water
398,0:30:26,0:30:28,1826,"2130 hours. Yes, sir.",The Shape Of Water
399,0:30:29,0:30:32,1829,That'sagreatapie.,The Shape Of Water
400,0:30:32,0:30:33,1832,I'm home.,The Shape Of Water
401,0:30:35,0:30:36,1835,I made you an omelet.,The Shape Of Water
402,0:30:36,0:30:38,1836," Hey, Dad. Guess what?  No pancakes?",The Shape Of Water
403,0:30:38,0:30:40,1838,I've been through half the boxes and I can't find the griddles.,The Shape Of Water
404,0:30:40,0:30:42,1840, Guess what?  I made you a cheese and broccoli omelet.,The Shape Of Water
405,0:30:42,0:30:43,1842,How are you feeling? Does it hurt?,The Shape Of Water
406,0:30:43,0:30:46,1843, A little bit. Pills help.  Guess what?,The Shape Of Water
407,0:30:46,0:30:47,1846,What?,The Shape Of Water
408,0:30:47,0:30:50,1847,We're burying a time capsule at the new school.,The Shape Of Water
409,0:30:50,0:30:51,1850,I wanted to ask you...,The Shape Of Water
410,0:30:51,0:30:55,1851,Do you think we'll all have jetpacks in the future?,The Shape Of Water
411,0:30:55,0:30:56,1855,"Believe it, son.",The Shape Of Water
412,0:30:56,0:30:57,1856,Oh! Bus is here.,The Shape Of Water
413,0:30:59,0:31:0,1859,This is America.,The Shape Of Water
414,0:31:2,0:31:3,1862,"Bye, Dad!",The Shape Of Water
415,0:31:7,0:31:8,1867,"Finish your omelet,",The Shape Of Water
416,0:31:8,0:31:9,1868,then wash your hands real good...,The Shape Of Water
417,0:31:9,0:31:11,1869,"and come upstairs, sweetie.",The Shape Of Water
418,0:31:11,0:31:14,1871,I kind of like it here. The kids like the lawn.,The Shape Of Water
419,0:31:14,0:31:17,1874,"Plus DC is just half an hour away, isn't it?",The Shape Of Water
420,0:31:18,0:31:22,1878,"It's still Baltimore, Elaine. No one likes Baltimore.",The Shape Of Water
421,0:31:25,0:31:26,1885,You know what I'm thinking?,The Shape Of Water
422,0:31:28,0:31:31,1888,I'm thinking I need a new car.,The Shape Of Water
423,0:31:38,0:31:40,1898,"You need a new car, do you?",The Shape Of Water
424,0:31:41,0:31:44,1901,"How about a Cadillac, mister?",The Shape Of Water
425,0:31:44,0:31:46,1904,Richard.,The Shape Of Water
426,0:31:48,0:31:50,1908,"Oh, Richard!",The Shape Of Water
427,0:31:53,0:31:54,1913,"Sweetie, Sweetie?",The Shape Of Water
428,0:31:54,0:31:56,1914,"Sweetie, your, um, your hand is bleeding.",The Shape Of Water
429,0:31:56,0:31:58,1916,Silence. Don't talk.,The Shape Of Water
430,0:31:58,0:31:59,1918,Don't talk. I want you in silence.,The Shape Of Water
431,0:31:59,0:32:2,1919,"Silent, silent. Yes.",The Shape Of Water
432,0:32:3,0:32:4,1923,Silence.,The Shape Of Water
433,0:32:15,0:32:18,1935,Dr. Levensen to Aeronautics.,The Shape Of Water
434,0:32:18,0:32:19,1938,Dr. Levensen to Aeronautics.,The Shape Of Water
435,0:35:23,0:35:24,2123,Hey!,The Shape Of Water
436,0:35:28,0:35:30,2128," Gotcha.  No, you didn't.",The Shape Of Water
437,0:36:5,0:36:9,2165,"""The sparrow nests on the window...""",The Shape Of Water
438,0:36:9,0:36:10,2169,What?,The Shape Of Water
439,0:36:10,0:36:15,2170,"""The sparrow nests on the window sill!""",The Shape Of Water
440,0:36:15,0:36:17,2175,"""And the eagle takes the prey.""",The Shape Of Water
441,0:36:17,0:36:18,2177,What?,The Shape Of Water
442,0:38:23,0:38:26,2303,"Elisa! Hurry, hurry, come on.",The Shape Of Water
443,0:38:26,0:38:27,2306,"I swear to God, girl.",The Shape Of Water
444,0:38:29,0:38:31,2309,"You're doing it again, Zelda.",The Shape Of Water
445,0:38:31,0:38:32,2311,"Oh, give it a rest, Yolanda.",The Shape Of Water
446,0:38:58,0:38:59,2338,Whoo!,The Shape Of Water
447,0:38:59,0:39:1,2339,"Hey, Zelda, want a smoke?",The Shape Of Water
448,0:39:1,0:39:2,2341,"That shit ain't good for you, Duane.",The Shape Of Water
449,0:39:2,0:39:4,2342,"Yeah, but it feel good.",The Shape Of Water
450,0:39:5,0:39:7,2345,"It does, doesn't it?",The Shape Of Water
451,0:39:7,0:39:9,2347,"Come on, Elisa. Just one.",The Shape Of Water
452,0:39:9,0:39:11,2349,"Come on, come on, come on.",The Shape Of Water
453,0:39:11,0:39:14,2351,Don't worry about that camera. We push 'em up at break time.,The Shape Of Water
454,0:39:15,0:39:17,2355,Mmmhmm.  This here is a blind spot.,The Shape Of Water
455,0:39:18,0:39:21,2358,Man can't make meatloaf...,The Shape Of Water
456,0:39:21,0:39:23,2361,It adds a little spice.,The Shape Of Water
457,0:39:25,0:39:27,2365,"Sector Five,",The Shape Of Water
458,0:39:27,0:39:30,2367,must ready energy test starting in two hours.,The Shape Of Water
459,0:39:45,0:39:47,2385,"Fleming, I have to finish some things in here.",The Shape Of Water
460,0:39:47,0:39:49,2387,"Fetch the general, will you?",The Shape Of Water
461,0:40:3,0:40:5,2403,"Aww, you missed me, huh?",The Shape Of Water
462,0:40:7,0:40:9,2407,I took a candy break.,The Shape Of Water
463,0:40:13,0:40:15,2413,"This is what scares you, huh?",The Shape Of Water
464,0:40:15,0:40:17,2415,"Well, gee, you should be used to it by now.",The Shape Of Water
465,0:40:19,0:40:23,2419,"There you go again, making that godawful sound.",The Shape Of Water
466,0:40:23,0:40:26,2423,"Is that you crying, huh? Is that what it is?",The Shape Of Water
467,0:40:26,0:40:27,2426,Are you hurting?,The Shape Of Water
468,0:40:28,0:40:31,2428,Or maybe you're angry!,The Shape Of Water
469,0:40:31,0:40:33,2431,Maybe you'd like to get another bite of me.,The Shape Of Water
470,0:40:33,0:40:35,2433,Go ahead.,The Shape Of Water
471,0:40:38,0:40:39,2438,I can't tell.,The Shape Of Water
472,0:40:41,0:40:43,2441,"I mean, are you begging?",The Shape Of Water
473,0:40:43,0:40:44,2443,"Because to me,",The Shape Of Water
474,0:40:44,0:40:47,2444,it's just the worst fucking noise I ever heard.,The Shape Of Water
475,0:41:14,0:41:16,2474,Paging Captain Walters.,The Shape Of Water
476,0:41:16,0:41:19,2476,"Captain Walters, please pick up the courtesy call.",The Shape Of Water
477,0:41:19,0:41:20,2479,Elisa.,The Shape Of Water
478,0:41:21,0:41:22,2481,Elisa!,The Shape Of Water
479,0:41:33,0:41:35,2493,"General Hoyt! Welcome, sir!",The Shape Of Water
480,0:41:35,0:41:37,2495,"Everything's ready. Glad to have you, sir.",The Shape Of Water
481,0:41:37,0:41:39,2497," Good to see you, son.  Thank you.",The Shape Of Water
482,0:41:39,0:41:42,2499,Good God Almighty! Is that it?,The Shape Of Water
483,0:41:42,0:41:43,2502,Hell of a lot bigger than I thought.,The Shape Of Water
484,0:41:43,0:41:45,2503,Ugly as sin.,The Shape Of Water
485,0:41:45,0:41:48,2505,"You know, the natives in the Amazon worshiped it like a god.",The Shape Of Water
486,0:41:48,0:41:52,2508,"Doesn't look like much of a god now, does it?",The Shape Of Water
487,0:41:52,0:41:53,2512,"Well, they're primitive, sir.",The Shape Of Water
488,0:41:53,0:41:55,2513,"You know, they would toss offerings into the water.",The Shape Of Water
489,0:41:55,0:41:57,2515,"Flowers, fruits, crap like that.",The Shape Of Water
490,0:41:57,0:41:59,2517,Then they tried to stop the oil drill,The Shape Of Water
491,0:41:59,0:42:0,2519,with bows and arrows.,The Shape Of Water
492,0:42:0,0:42:2,2520,That didn't turn out too well.,The Shape Of Water
493,0:42:2,0:42:3,2522,He's bleeding.,The Shape Of Water
494,0:42:5,0:42:6,2525,What happened?,The Shape Of Water
