Index,Start Time,End Time,Start Time (sec),Text,Movie
1549,1:40:33,1:40:36,6033,You're a dead man. You're a dead man!,Dumb and Dumber
1550,1:40:41,1:40:44,6041,"Lloyd, I'm home!",Dumb and Dumber
1551,1:40:44,1:40:47,6044,"Look, we've got to have a serious talk.",Dumb and Dumber
1552,1:40:47,1:40:49,6047,I got a confession to make.,Dumb and Dumber
1553,1:40:49,1:40:51,6049,"Oh, good. You found her.",Dumb and Dumber
1554,1:40:51,1:40:52,6051,I'll leave you two alone.,Dumb and Dumber
1555,1:40:52,1:40:54,6052,No. Stay.,Dumb and Dumber
1556,1:40:55,1:40:57,6055,Ugh!,Dumb and Dumber
1557,1:41:1,1:41:4,6061,"Yes, I'd like a oneway ticket to Amsterdam",Dumb and Dumber
1558,1:41:4,1:41:7,6064,"departing as soon as possible, please.",Dumb and Dumber
1559,1:41:7,1:41:9,6067,How do you guys know each other?,Dumb and Dumber
1560,1:41:9,1:41:11,6069,We used to be best friends.,Dumb and Dumber
1561,1:41:11,1:41:13,6071,"Yeah, until he turned into a backstabber.",Dumb and Dumber
1562,1:41:13,1:41:16,6073,Me a backstabber? You got a lot of nerve.,Dumb and Dumber
1563,1:41:16,1:41:18,6076,You knew I was crazy about her!,Dumb and Dumber
1564,1:41:18,1:41:20,6078,"And you knew I was crazy about Fraida Felcher,",Dumb and Dumber
1565,1:41:21,1:41:24,6081,"and that didn't stop you, did it?",Dumb and Dumber
1566,1:41:24,1:41:26,6084, What do you mean?  What do you mean?,Dumb and Dumber
1567,1:41:26,1:41:28,6086,"Don't deny it, Lloyd.",Dumb and Dumber
1568,1:41:28,1:41:31,6088,"Fraida told me the whole sleazy story, Mr. French Tickler.",Dumb and Dumber
1569,1:41:34,1:41:37,6094,"Okay, what time does it what time does that leave?",Dumb and Dumber
1570,1:41:37,1:41:39,6097,Thank you wait a second.,Dumb and Dumber
1571,1:41:39,1:41:41,6099,Can I have a vegetarian meal?,Dumb and Dumber
1572,1:41:41,1:41:43,6101,I guess we both learned a little something,Dumb and Dumber
1573,1:41:43,1:41:46,6103," about each other today, didn't we?  Yeah, you said it, pal.",Dumb and Dumber
1574,1:41:46,1:41:47,6106,Maybe we're not as good of friends as we thought we were.,Dumb and Dumber
1575,1:41:48,1:41:48,6108,I guess not.,Dumb and Dumber
1576,1:41:48,1:41:51,6108,"I mean, if one beautiful girl can rip us apart like this,",Dumb and Dumber
1577,1:41:51,1:41:53,6111,then maybe our friendship isn't worth a damn.,Dumb and Dumber
1578,1:41:53,1:41:55,6113,Maybe we should call it quits right now.,Dumb and Dumber
1579,1:41:55,1:41:57,6115,"You just tell me where to sign, bud.",Dumb and Dumber
1580,1:41:57,1:41:59,6117,Right on my ass after you kiss it!,Dumb and Dumber
1581,1:41:59,1:42:1,6119,Kiss it?! You kiss mine!,Dumb and Dumber
1582,1:42:1,1:42:3,6121,"Both cheeks, both lips, right here!",Dumb and Dumber
1583,1:42:3,1:42:7,6123, Put it right  Shut up!,Dumb and Dumber
1584,1:42:9,1:42:11,6129,"Now, which one of you losers wants to get it first?",Dumb and Dumber
1585,1:42:13,1:42:16,6133,Over here...,Dumb and Dumber
1586,1:42:16,1:42:18,6136,I was the one that got you into this whole mess.,Dumb and Dumber
1587,1:42:18,1:42:20,6138,Come on and shoot me.,Dumb and Dumber
1588,1:42:20,1:42:23,6140,"No! Wait! Wait. No no, do me first.",Dumb and Dumber
1589,1:42:23,1:42:25,6143,"I stole your girl, Lloyd. I deserve it.",Dumb and Dumber
1590,1:42:26,1:42:27,6146," No, you don't.  Yes, I do.",Dumb and Dumber
1591,1:42:27,1:42:29,6147," No, you don't  Yes, I do!",Dumb and Dumber
1592,1:42:29,1:42:32,6149,Yesterday was one of the greatest days of my life.,Dumb and Dumber
1593,1:42:32,1:42:36,6152,"Mary and I went skiing, we made a snowman, she touched my leg.",Dumb and Dumber
1594,1:42:36,1:42:38,6156,"Okay, kill him!",Dumb and Dumber
1595,1:42:45,1:42:47,6165,"Oh! Oh, no!",Dumb and Dumber
1596,1:42:49,1:42:52,6169,"You killed my best friend, you bastard!",Dumb and Dumber
1597,1:42:52,1:42:53,6172,"If it's any consolation,",Dumb and Dumber
1598,1:42:53,1:42:56,6173,you're about to be reunited.,Dumb and Dumber
1599,1:43:2,1:43:6,6182,Harry! You're alive!,Dumb and Dumber
1600,1:43:6,1:43:8,6186,And you're a horrible shot.,Dumb and Dumber
1601,1:43:8,1:43:11,6188,Lucky me.,Dumb and Dumber
1602,1:43:11,1:43:13,6191,Police! Open up! Nobody move!,Dumb and Dumber
1603,1:43:13,1:43:16,6193,Everybody freeze! Get those hands up!,Dumb and Dumber
1604,1:43:16,1:43:18,6196,"Not you, dummy!",Dumb and Dumber
1605,1:43:18,1:43:20,6198,Get the gun.,Dumb and Dumber
